,Compound,Date,Media Source,Negative,Neutral,Positive,Tweets Ago
423,0.5859,Mon Jan 08 07:07:03 +0000 2018,New York TImes,0.84,0.0,0.16,24
424,0.3818,Mon Jan 08 06:52:00 +0000 2018,New York TImes,0.874,0.0,0.126,25
425,0.0,Mon Jan 08 06:37:04 +0000 2018,New York TImes,1.0,0.0,0.0,26
426,-0.0516,Mon Jan 08 06:22:04 +0000 2018,New York TImes,0.84,0.084,0.076,27
427,0.6597,Mon Jan 08 06:07:27 +0000 2018,New York TImes,0.748,0.0,0.252,28
428,0.0,Mon Jan 08 05:50:44 +0000 2018,New York TImes,1.0,0.0,0.0,29
429,0.0,Mon Jan 08 05:35:18 +0000 2018,New York TImes,1.0,0.0,0.0,30
430,-0.2263,Mon Jan 08 05:23:55 +0000 2018,New York TImes,0.894,0.106,0.0,31
431,0.0,Mon Jan 08 05:09:35 +0000 2018,New York TImes,1.0,0.0,0.0,32
432,-0.5837,Mon Jan 08 04:52:06 +0000 2018,New York TImes,0.649,0.351,0.0,33
433,0.0,Mon Jan 08 04:28:03 +0000 2018,New York TImes,1.0,0.0,0.0,34
434,0.0,Mon Jan 08 04:18:00 +0000 2018,New York TImes,1.0,0.0,0.0,35
435,0.4767,Mon Jan 08 04:16:50 +0000 2018,New York TImes,0.763,0.0,0.237,36
436,0.8176,Mon Jan 08 04:11:40 +0000 2018,New York TImes,0.679,0.0,0.321,37
437,0.765,Mon Jan 08 04:07:49 +0000 2018,New York TImes,0.694,0.0,0.306,38
438,0.836,Mon Jan 08 04:06:29 +0000 2018,New York TImes,0.669,0.0,0.331,39
439,0.1531,Mon Jan 08 04:02:02 +0000 2018,New York TImes,0.885,0.0,0.115,40
440,0.4019,Mon Jan 08 07:52:01 +0000 2018,New York TImes,0.891,0.0,0.109,41
441,0.5106,Mon Jan 08 07:37:06 +0000 2018,New York TImes,0.711,0.061,0.228,42
442,0.5719,Mon Jan 08 07:22:06 +0000 2018,New York TImes,0.709,0.0,0.291,43
443,0.5859,Mon Jan 08 07:07:03 +0000 2018,New York TImes,0.84,0.0,0.16,44
444,0.3818,Mon Jan 08 06:52:00 +0000 2018,New York TImes,0.874,0.0,0.126,45
445,0.0,Mon Jan 08 06:37:04 +0000 2018,New York TImes,1.0,0.0,0.0,46
446,-0.0516,Mon Jan 08 06:22:04 +0000 2018,New York TImes,0.84,0.084,0.076,47
447,0.6597,Mon Jan 08 06:07:27 +0000 2018,New York TImes,0.748,0.0,0.252,48
448,0.0,Mon Jan 08 05:50:44 +0000 2018,New York TImes,1.0,0.0,0.0,49
449,0.0,Mon Jan 08 05:35:18 +0000 2018,New York TImes,1.0,0.0,0.0,50
450,-0.2263,Mon Jan 08 05:23:55 +0000 2018,New York TImes,0.894,0.106,0.0,51
451,0.0,Mon Jan 08 05:09:35 +0000 2018,New York TImes,1.0,0.0,0.0,52
452,-0.5837,Mon Jan 08 04:52:06 +0000 2018,New York TImes,0.649,0.351,0.0,53
453,0.0,Mon Jan 08 04:28:03 +0000 2018,New York TImes,1.0,0.0,0.0,54
454,0.0,Mon Jan 08 04:18:00 +0000 2018,New York TImes,1.0,0.0,0.0,55
455,0.4767,Mon Jan 08 04:16:50 +0000 2018,New York TImes,0.763,0.0,0.237,56
456,0.8176,Mon Jan 08 04:11:40 +0000 2018,New York TImes,0.679,0.0,0.321,57
457,0.765,Mon Jan 08 04:07:49 +0000 2018,New York TImes,0.694,0.0,0.306,58
458,0.836,Mon Jan 08 04:06:29 +0000 2018,New York TImes,0.669,0.0,0.331,59
459,0.1531,Mon Jan 08 04:02:02 +0000 2018,New York TImes,0.885,0.0,0.115,60
460,0.4019,Mon Jan 08 07:52:01 +0000 2018,New York TImes,0.891,0.0,0.109,61
461,0.5106,Mon Jan 08 07:37:06 +0000 2018,New York TImes,0.711,0.061,0.228,62
462,0.5719,Mon Jan 08 07:22:06 +0000 2018,New York TImes,0.709,0.0,0.291,63
463,0.5859,Mon Jan 08 07:07:03 +0000 2018,New York TImes,0.84,0.0,0.16,64
464,0.3818,Mon Jan 08 06:52:00 +0000 2018,New York TImes,0.874,0.0,0.126,65
465,0.0,Mon Jan 08 06:37:04 +0000 2018,New York TImes,1.0,0.0,0.0,66
466,-0.0516,Mon Jan 08 06:22:04 +0000 2018,New York TImes,0.84,0.084,0.076,67
467,0.6597,Mon Jan 08 06:07:27 +0000 2018,New York TImes,0.748,0.0,0.252,68
468,0.0,Mon Jan 08 05:50:44 +0000 2018,New York TImes,1.0,0.0,0.0,69
469,0.0,Mon Jan 08 05:35:18 +0000 2018,New York TImes,1.0,0.0,0.0,70
470,-0.2263,Mon Jan 08 05:23:55 +0000 2018,New York TImes,0.894,0.106,0.0,71
471,0.0,Mon Jan 08 05:09:35 +0000 2018,New York TImes,1.0,0.0,0.0,72
472,-0.5837,Mon Jan 08 04:52:06 +0000 2018,New York TImes,0.649,0.351,0.0,73
473,0.0,Mon Jan 08 04:28:03 +0000 2018,New York TImes,1.0,0.0,0.0,74
